image_index,label_index,label_name,original_split,split
20904,3,normal,train,calibration
6237,3,normal,train,calibration
59053,3,normal,train,calibration
52898,3,normal,train,calibration
1257,0,choroidal neovascularization,train,calibration
55679,1,diabetic macular edema,train,calibration
38072,3,normal,train,calibration
35876,2,drusen,train,calibration
75297,3,normal,train,calibration
11067,0,choroidal neovascularization,train,calibration
36414,2,drusen,train,calibration
70383,0,choroidal neovascularization,train,calibration
104839,0,choroidal neovascularization,val,calibration
22796,3,normal,train,calibration
37586,0,choroidal neovascularization,train,calibration
26864,3,normal,train,calibration
69924,3,normal,train,calibration
64312,0,choroidal neovascularization,train,calibration
6043,3,normal,train,calibration
50132,0,choroidal neovascularization,train,calibration
82821,1,diabetic macular edema,train,calibration
70299,3,normal,train,calibration
94534,0,choroidal neovascularization,train,calibration
68699,0,choroidal neovascularization,train,calibration
45316,1,diabetic macular edema,train,calibration
81741,0,choroidal neovascularization,train,calibration
68402,3,normal,train,calibration
18058,3,normal,train,calibration
53204,3,normal,train,calibration
93153,2,drusen,train,calibration
100136,3,normal,val,calibration
53116,0,choroidal neovascularization,train,calibration
21846,0,choroidal neovascularization,train,calibration
72879,0,choroidal neovascularization,train,calibration
85060,1,diabetic macular edema,train,calibration
65668,3,normal,train,calibration
65155,3,normal,train,calibration
18041,2,drusen,train,calibration
46382,0,choroidal neovascularization,train,calibration
67514,3,normal,train,calibration
36760,0,choroidal neovascularization,train,calibration
90422,0,choroidal neovascularization,train,calibration
21954,3,normal,train,calibration
8514,3,normal,train,calibration
42221,0,choroidal neovascularization,train,calibration
92308,3,normal,train,calibration
79384,3,normal,train,calibration
2954,0,choroidal neovascularization,train,calibration
30605,3,normal,train,calibration
20936,3,normal,train,calibration
5959,3,normal,train,calibration
43410,3,normal,train,calibration
49740,3,normal,train,calibration
108842,0,choroidal neovascularization,test,calibration
1494,3,normal,train,calibration
58674,3,normal,train,calibration
34022,0,choroidal neovascularization,train,calibration
63914,3,normal,train,calibration
22532,2,drusen,train,calibration
71499,0,choroidal neovascularization,train,calibration
72531,3,normal,train,calibration
29504,0,choroidal neovascularization,train,calibration
45343,3,normal,train,calibration
12653,3,normal,train,calibration
39296,1,diabetic macular edema,train,calibration
29965,3,normal,train,calibration
99921,0,choroidal neovascularization,val,calibration
35884,0,choroidal neovascularization,train,calibration
52193,1,diabetic macular edema,train,calibration
39561,3,normal,train,calibration
60910,3,normal,train,calibration
67676,0,choroidal neovascularization,train,calibration
37686,3,normal,train,calibration
54612,0,choroidal neovascularization,train,calibration
58422,3,normal,train,calibration
50499,3,normal,train,calibration
2960,0,choroidal neovascularization,train,calibration
76615,3,normal,train,calibration
71643,0,choroidal neovascularization,train,calibration
81551,0,choroidal neovascularization,train,calibration
77087,3,normal,train,calibration
104908,3,normal,val,calibration
71737,2,drusen,train,calibration
92835,0,choroidal neovascularization,train,calibration
100664,3,normal,val,calibration
103590,3,normal,val,calibration
87382,3,normal,train,calibration
64596,2,drusen,train,calibration
37434,0,choroidal neovascularization,train,calibration
40915,0,choroidal neovascularization,train,calibration
57165,0,choroidal neovascularization,train,calibration
80414,3,normal,train,calibration
35453,3,normal,train,calibration
31393,0,choroidal neovascularization,train,calibration
26164,0,choroidal neovascularization,train,calibration
5253,0,choroidal neovascularization,train,calibration
526,1,diabetic macular edema,train,calibration
41511,1,diabetic macular edema,train,calibration
19798,2,drusen,train,calibration
42472,0,choroidal neovascularization,train,calibration
72719,3,normal,train,calibration
1795,3,normal,train,calibration
72935,1,diabetic macular edema,train,calibration
40446,0,choroidal neovascularization,train,calibration
73717,3,normal,train,calibration
25621,3,normal,train,calibration
103137,3,normal,val,calibration
12858,0,choroidal neovascularization,train,calibration
57819,3,normal,train,calibration
89096,0,choroidal neovascularization,train,calibration
6296,1,diabetic macular edema,train,calibration
107226,3,normal,val,calibration
361,2,drusen,train,calibration
73676,0,choroidal neovascularization,train,calibration
102726,3,normal,val,calibration
24202,3,normal,train,calibration
67420,1,diabetic macular edema,train,calibration
30159,0,choroidal neovascularization,train,calibration
76,3,normal,train,calibration
71942,3,normal,train,calibration
97928,0,choroidal neovascularization,val,calibration
67043,1,diabetic macular edema,train,calibration
14144,0,choroidal neovascularization,train,calibration
94399,0,choroidal neovascularization,train,calibration
2021,3,normal,train,calibration
38884,0,choroidal neovascularization,train,calibration
46746,0,choroidal neovascularization,train,calibration
3767,3,normal,train,calibration
88663,3,normal,train,calibration
95534,1,diabetic macular edema,train,calibration
97766,2,drusen,val,calibration
38382,3,normal,train,calibration
78023,1,diabetic macular edema,train,calibration
72288,0,choroidal neovascularization,train,calibration
71293,0,choroidal neovascularization,train,calibration
67930,3,normal,train,calibration
74647,1,diabetic macular edema,train,calibration
9898,0,choroidal neovascularization,train,calibration
72521,3,normal,train,calibration
39333,3,normal,train,calibration
50551,1,diabetic macular edema,train,calibration
48359,0,choroidal neovascularization,train,calibration
