image_index,label_index,label_name,original_split,split
20321,0,choroidal neovascularization,train,evaluation
71284,0,choroidal neovascularization,train,evaluation
39812,0,choroidal neovascularization,train,evaluation
19085,0,choroidal neovascularization,train,evaluation
76827,3,normal,train,evaluation
35544,0,choroidal neovascularization,train,evaluation
4871,0,choroidal neovascularization,train,evaluation
769,0,choroidal neovascularization,train,evaluation
3714,1,diabetic macular edema,train,evaluation
65278,3,normal,train,evaluation
87383,0,choroidal neovascularization,train,evaluation
51175,3,normal,train,evaluation
50157,0,choroidal neovascularization,train,evaluation
48544,2,drusen,train,evaluation
3697,2,drusen,train,evaluation
104896,1,diabetic macular edema,val,evaluation
74325,3,normal,train,evaluation
38541,1,diabetic macular edema,train,evaluation
32482,0,choroidal neovascularization,train,evaluation
104456,3,normal,val,evaluation
96653,0,choroidal neovascularization,train,evaluation
94537,3,normal,train,evaluation
76246,3,normal,train,evaluation
27290,0,choroidal neovascularization,train,evaluation
104971,3,normal,val,evaluation
93628,3,normal,train,evaluation
50000,3,normal,train,evaluation
105098,2,drusen,val,evaluation
71872,1,diabetic macular edema,train,evaluation
106324,2,drusen,val,evaluation
73852,3,normal,train,evaluation
24299,3,normal,train,evaluation
55571,0,choroidal neovascularization,train,evaluation
63152,0,choroidal neovascularization,train,evaluation
39243,3,normal,train,evaluation
79569,3,normal,train,evaluation
22410,0,choroidal neovascularization,train,evaluation
28042,0,choroidal neovascularization,train,evaluation
37570,1,diabetic macular edema,train,evaluation
16795,3,normal,train,evaluation
33853,3,normal,train,evaluation
15136,3,normal,train,evaluation
19543,3,normal,train,evaluation
51374,2,drusen,train,evaluation
75986,3,normal,train,evaluation
91892,3,normal,train,evaluation
60558,2,drusen,train,evaluation
100625,0,choroidal neovascularization,val,evaluation
90324,3,normal,train,evaluation
86124,1,diabetic macular edema,train,evaluation
94729,0,choroidal neovascularization,train,evaluation
60630,1,diabetic macular edema,train,evaluation
33798,3,normal,train,evaluation
33342,0,choroidal neovascularization,train,evaluation
28039,3,normal,train,evaluation
33904,3,normal,train,evaluation
95187,0,choroidal neovascularization,train,evaluation
71870,3,normal,train,evaluation
60810,3,normal,train,evaluation
80669,1,diabetic macular edema,train,evaluation
31852,3,normal,train,evaluation
14455,3,normal,train,evaluation
45670,0,choroidal neovascularization,train,evaluation
17321,3,normal,train,evaluation
93949,0,choroidal neovascularization,train,evaluation
1121,0,choroidal neovascularization,train,evaluation
41659,0,choroidal neovascularization,train,evaluation
86804,1,diabetic macular edema,train,evaluation
34017,3,normal,train,evaluation
101479,0,choroidal neovascularization,val,evaluation
63630,3,normal,train,evaluation
40614,0,choroidal neovascularization,train,evaluation
85748,0,choroidal neovascularization,train,evaluation
94496,0,choroidal neovascularization,train,evaluation
38637,3,normal,train,evaluation
51523,3,normal,train,evaluation
