image_index,label_index,label_name,split
76700,0,"Collecting Duct, Connecting Tubule",train
27669,0,"Collecting Duct, Connecting Tubule",train
56108,3,Interstitial endothelial cells,train
6774,4,Leukocytes,train
19315,6,Proximal Tubule Segments,train
27120,6,Proximal Tubule Segments,train
18150,3,Interstitial endothelial cells,train
42277,0,"Collecting Duct, Connecting Tubule",train
17899,4,Leukocytes,train
88728,0,"Collecting Duct, Connecting Tubule",train
50722,0,"Collecting Duct, Connecting Tubule",train
60194,1,Distal Convoluted Tubule,train
7626,7,Thick Ascending Limb,train
128149,6,Proximal Tubule Segments,train
7536,3,Interstitial endothelial cells,train
56551,6,Proximal Tubule Segments,train
97246,0,"Collecting Duct, Connecting Tubule",train
13503,7,Thick Ascending Limb,train
150000,0,"Collecting Duct, Connecting Tubule",train
59831,6,Proximal Tubule Segments,train
112954,0,"Collecting Duct, Connecting Tubule",train
49548,6,Proximal Tubule Segments,train
426,0,"Collecting Duct, Connecting Tubule",train
152953,6,Proximal Tubule Segments,train
25735,1,Distal Convoluted Tubule,train
132957,7,Thick Ascending Limb,train
28165,1,Distal Convoluted Tubule,train
43238,0,"Collecting Duct, Connecting Tubule",train
14091,0,"Collecting Duct, Connecting Tubule",train
5043,0,"Collecting Duct, Connecting Tubule",train
35807,5,Podocytes,train
138327,2,Glomerular endothelial cells,train
113730,6,Proximal Tubule Segments,train
27779,6,Proximal Tubule Segments,train
125154,7,Thick Ascending Limb,train
22497,0,"Collecting Duct, Connecting Tubule",train
2872,4,Leukocytes,train
162921,6,Proximal Tubule Segments,train
97689,7,Thick Ascending Limb,train
35632,7,Thick Ascending Limb,train
36168,0,"Collecting Duct, Connecting Tubule",train
27569,0,"Collecting Duct, Connecting Tubule",train
11719,0,"Collecting Duct, Connecting Tubule",train
148713,0,"Collecting Duct, Connecting Tubule",train
17228,6,Proximal Tubule Segments,train
11290,6,Proximal Tubule Segments,train
43866,3,Interstitial endothelial cells,train
1015,6,Proximal Tubule Segments,train
112986,6,Proximal Tubule Segments,train
104437,5,Podocytes,train
64843,6,Proximal Tubule Segments,train
145602,7,Thick Ascending Limb,train
87128,0,"Collecting Duct, Connecting Tubule",train
62355,0,"Collecting Duct, Connecting Tubule",train
138104,0,"Collecting Duct, Connecting Tubule",train
75671,6,Proximal Tubule Segments,train
166,6,Proximal Tubule Segments,train
144523,0,"Collecting Duct, Connecting Tubule",train
10877,3,Interstitial endothelial cells,train
11954,6,Proximal Tubule Segments,train
163393,6,Proximal Tubule Segments,train
63381,6,Proximal Tubule Segments,train
52664,6,Proximal Tubule Segments,train
10525,7,Thick Ascending Limb,train
153447,1,Distal Convoluted Tubule,train
31248,6,Proximal Tubule Segments,train
32664,3,Interstitial endothelial cells,train
156413,0,"Collecting Duct, Connecting Tubule",train
26331,1,Distal Convoluted Tubule,train
146924,4,Leukocytes,train
20510,7,Thick Ascending Limb,train
40430,0,"Collecting Duct, Connecting Tubule",train
66085,3,Interstitial endothelial cells,train
43440,6,Proximal Tubule Segments,train
37499,6,Proximal Tubule Segments,train
48265,6,Proximal Tubule Segments,train
162204,6,Proximal Tubule Segments,train
75502,0,"Collecting Duct, Connecting Tubule",train
44623,6,Proximal Tubule Segments,train
91404,6,Proximal Tubule Segments,train
106972,0,"Collecting Duct, Connecting Tubule",train
142148,1,Distal Convoluted Tubule,train
150278,7,Thick Ascending Limb,train
107598,0,"Collecting Duct, Connecting Tubule",train
5198,6,Proximal Tubule Segments,train
110048,7,Thick Ascending Limb,train
28180,0,"Collecting Duct, Connecting Tubule",train
102881,6,Proximal Tubule Segments,train
76405,6,Proximal Tubule Segments,train
81527,0,"Collecting Duct, Connecting Tubule",train
42641,0,"Collecting Duct, Connecting Tubule",train
20010,2,Glomerular endothelial cells,train
13064,0,"Collecting Duct, Connecting Tubule",train
75865,0,"Collecting Duct, Connecting Tubule",train
6727,6,Proximal Tubule Segments,train
77866,0,"Collecting Duct, Connecting Tubule",train
67804,3,Interstitial endothelial cells,train
28350,3,Interstitial endothelial cells,train
52736,7,Thick Ascending Limb,train
110843,0,"Collecting Duct, Connecting Tubule",train
132509,0,"Collecting Duct, Connecting Tubule",train
83650,1,Distal Convoluted Tubule,train
34356,6,Proximal Tubule Segments,train
106859,0,"Collecting Duct, Connecting Tubule",train
44539,6,Proximal Tubule Segments,train
162716,6,Proximal Tubule Segments,train
795,7,Thick Ascending Limb,train
53921,4,Leukocytes,train
53321,2,Glomerular endothelial cells,train
75101,6,Proximal Tubule Segments,train
147564,6,Proximal Tubule Segments,train
38359,3,Interstitial endothelial cells,train
130219,5,Podocytes,train
10263,0,"Collecting Duct, Connecting Tubule",train
159158,6,Proximal Tubule Segments,train
48699,5,Podocytes,train
52877,0,"Collecting Duct, Connecting Tubule",train
19853,3,Interstitial endothelial cells,train
42981,6,Proximal Tubule Segments,train
26579,1,Distal Convoluted Tubule,train
94164,5,Podocytes,train
21654,0,"Collecting Duct, Connecting Tubule",train
147254,5,Podocytes,train
82717,3,Interstitial endothelial cells,train
20482,6,Proximal Tubule Segments,train
21764,0,"Collecting Duct, Connecting Tubule",train
64548,5,Podocytes,train
152958,7,Thick Ascending Limb,train
91638,4,Leukocytes,train
27692,4,Leukocytes,train
14942,6,Proximal Tubule Segments,train
147183,7,Thick Ascending Limb,train
66804,0,"Collecting Duct, Connecting Tubule",train
35342,7,Thick Ascending Limb,train
37950,6,Proximal Tubule Segments,train
11048,0,"Collecting Duct, Connecting Tubule",train
51820,6,Proximal Tubule Segments,train
154695,1,Distal Convoluted Tubule,train
14083,6,Proximal Tubule Segments,train
164170,1,Distal Convoluted Tubule,train
22334,0,"Collecting Duct, Connecting Tubule",train
98682,4,Leukocytes,train
30636,0,"Collecting Duct, Connecting Tubule",train
490,3,Interstitial endothelial cells,train
6299,1,Distal Convoluted Tubule,train
139405,7,Thick Ascending Limb,train
110855,7,Thick Ascending Limb,train
65770,6,Proximal Tubule Segments,train
93193,3,Interstitial endothelial cells,train
94519,0,"Collecting Duct, Connecting Tubule",train
149626,0,"Collecting Duct, Connecting Tubule",train
11708,0,"Collecting Duct, Connecting Tubule",train
88789,5,Podocytes,train
60759,6,Proximal Tubule Segments,train
36201,6,Proximal Tubule Segments,train
100172,0,"Collecting Duct, Connecting Tubule",train
