image_index,label_index,label_name,original_split,split
22592,2,drusen,train,train
95964,0,choroidal neovascularization,train,train
85432,0,choroidal neovascularization,train,train
20850,0,choroidal neovascularization,train,train
33021,0,choroidal neovascularization,train,train
87377,3,normal,train,train
64416,0,choroidal neovascularization,train,train
18099,3,normal,train,train
107233,2,drusen,val,train
31191,3,normal,train,train
38231,0,choroidal neovascularization,train,train
30186,3,normal,train,train
81771,0,choroidal neovascularization,train,train
62872,0,choroidal neovascularization,train,train
22932,2,drusen,train,train
59454,0,choroidal neovascularization,train,train
73563,3,normal,train,train
16447,0,choroidal neovascularization,train,train
57026,3,normal,train,train
21973,3,normal,train,train
23923,3,normal,train,train
9507,3,normal,train,train
1238,3,normal,train,train
54757,0,choroidal neovascularization,train,train
54402,0,choroidal neovascularization,train,train
74738,0,choroidal neovascularization,train,train
73651,0,choroidal neovascularization,train,train
104678,0,choroidal neovascularization,val,train
42063,0,choroidal neovascularization,train,train
3379,3,normal,train,train
104803,0,choroidal neovascularization,val,train
33690,3,normal,train,train
55122,0,choroidal neovascularization,train,train
106678,0,choroidal neovascularization,val,train
25465,0,choroidal neovascularization,train,train
108520,2,drusen,test,train
92689,3,normal,train,train
62234,3,normal,train,train
54696,3,normal,train,train
71312,3,normal,train,train
31361,0,choroidal neovascularization,train,train
9049,3,normal,train,train
69415,0,choroidal neovascularization,train,train
31515,3,normal,train,train
87036,0,choroidal neovascularization,train,train
102538,3,normal,val,train
74954,3,normal,train,train
12121,3,normal,train,train
24022,3,normal,train,train
85049,3,normal,train,train
73173,0,choroidal neovascularization,train,train
46371,3,normal,train,train
24484,0,choroidal neovascularization,train,train
29485,3,normal,train,train
62951,3,normal,train,train
87404,0,choroidal neovascularization,train,train
25611,0,choroidal neovascularization,train,train
27273,0,choroidal neovascularization,train,train
106506,0,choroidal neovascularization,val,train
98773,0,choroidal neovascularization,val,train
63385,3,normal,train,train
35321,0,choroidal neovascularization,train,train
19708,3,normal,train,train
33177,3,normal,train,train
26379,3,normal,train,train
17131,0,choroidal neovascularization,train,train
6502,0,choroidal neovascularization,train,train
65093,3,normal,train,train
60604,0,choroidal neovascularization,train,train
65803,1,diabetic macular edema,train,train
51505,1,diabetic macular edema,train,train
17995,1,diabetic macular edema,train,train
75247,0,choroidal neovascularization,train,train
40045,2,drusen,train,train
18685,0,choroidal neovascularization,train,train
86089,0,choroidal neovascularization,train,train
90781,0,choroidal neovascularization,train,train
82288,2,drusen,train,train
9516,3,normal,train,train
549,3,normal,train,train
69246,0,choroidal neovascularization,train,train
42382,3,normal,train,train
50670,1,diabetic macular edema,train,train
34870,0,choroidal neovascularization,train,train
79521,0,choroidal neovascularization,train,train
31595,3,normal,train,train
100376,3,normal,val,train
5326,3,normal,train,train
91983,3,normal,train,train
105725,0,choroidal neovascularization,val,train
88421,0,choroidal neovascularization,train,train
45850,0,choroidal neovascularization,train,train
51973,2,drusen,train,train
65543,2,drusen,train,train
57427,3,normal,train,train
6949,3,normal,train,train
70881,0,choroidal neovascularization,train,train
24061,0,choroidal neovascularization,train,train
55047,0,choroidal neovascularization,train,train
95037,2,drusen,train,train
108551,3,normal,test,train
79026,0,choroidal neovascularization,train,train
47117,2,drusen,train,train
90427,0,choroidal neovascularization,train,train
41542,0,choroidal neovascularization,train,train
2509,3,normal,train,train
37498,3,normal,train,train
71235,0,choroidal neovascularization,train,train
74292,2,drusen,train,train
53228,3,normal,train,train
2560,3,normal,train,train
90200,0,choroidal neovascularization,train,train
70805,0,choroidal neovascularization,train,train
93521,3,normal,train,train
85970,0,choroidal neovascularization,train,train
62193,0,choroidal neovascularization,train,train
80847,3,normal,train,train
56082,0,choroidal neovascularization,train,train
24204,3,normal,train,train
81729,0,choroidal neovascularization,train,train
61183,3,normal,train,train
87782,3,normal,train,train
37632,0,choroidal neovascularization,train,train
30883,0,choroidal neovascularization,train,train
61119,3,normal,train,train
21855,3,normal,train,train
