image_index,label_index,label_name,split
61856,5,smooth muscle,calibration
67891,5,smooth muscle,calibration
5035,4,mucus,calibration
56684,0,adipose,calibration
30948,2,debris,calibration
47750,6,normal colon mucosa,calibration
10159,4,mucus,calibration
63299,6,normal colon mucosa,calibration
25982,5,smooth muscle,calibration
89119,8,colorectal adenocarcinoma epithelium,calibration
44226,6,normal colon mucosa,calibration
23597,3,lymphocytes,calibration
21683,2,debris,calibration
32407,4,mucus,calibration
43585,2,debris,calibration
50128,7,cancer-associated stroma,calibration
74646,0,adipose,calibration
2790,8,colorectal adenocarcinoma epithelium,calibration
14115,0,adipose,calibration
56053,8,colorectal adenocarcinoma epithelium,calibration
65962,1,background,calibration
36361,4,mucus,calibration
89249,3,lymphocytes,calibration
44053,2,debris,calibration
16304,1,background,calibration
10518,3,lymphocytes,calibration
37043,7,cancer-associated stroma,calibration
35915,0,adipose,calibration
16850,7,cancer-associated stroma,calibration
30679,6,normal colon mucosa,calibration
21076,0,adipose,calibration
44391,2,debris,calibration
76260,2,debris,calibration
57798,8,colorectal adenocarcinoma epithelium,calibration
50957,1,background,calibration
47016,7,cancer-associated stroma,calibration
65146,4,mucus,calibration
56376,6,normal colon mucosa,calibration
15013,3,lymphocytes,calibration
34971,7,cancer-associated stroma,calibration
39567,8,colorectal adenocarcinoma epithelium,calibration
73156,3,lymphocytes,calibration
14074,0,adipose,calibration
10332,8,colorectal adenocarcinoma epithelium,calibration
68042,8,colorectal adenocarcinoma epithelium,calibration
1902,0,adipose,calibration
38651,5,smooth muscle,calibration
88804,2,debris,calibration
26301,0,adipose,calibration
18195,7,cancer-associated stroma,calibration
12007,5,smooth muscle,calibration
86349,5,smooth muscle,calibration
2158,4,mucus,calibration
65080,2,debris,calibration
60166,0,adipose,calibration
63866,0,adipose,calibration
51003,3,lymphocytes,calibration
14920,5,smooth muscle,calibration
38941,6,normal colon mucosa,calibration
87548,3,lymphocytes,calibration
46437,4,mucus,calibration
18346,8,colorectal adenocarcinoma epithelium,calibration
56905,7,cancer-associated stroma,calibration
47440,5,smooth muscle,calibration
65476,1,background,calibration
64568,8,colorectal adenocarcinoma epithelium,calibration
6909,8,colorectal adenocarcinoma epithelium,calibration
45612,8,colorectal adenocarcinoma epithelium,calibration
23473,1,background,calibration
1028,0,adipose,calibration
29494,7,cancer-associated stroma,calibration
36416,8,colorectal adenocarcinoma epithelium,calibration
33574,7,cancer-associated stroma,calibration
73693,2,debris,calibration
20333,4,mucus,calibration
89546,4,mucus,calibration
64806,8,colorectal adenocarcinoma epithelium,calibration
33439,7,cancer-associated stroma,calibration
40441,2,debris,calibration
46243,8,colorectal adenocarcinoma epithelium,calibration
7700,5,smooth muscle,calibration
47304,5,smooth muscle,calibration
49343,6,normal colon mucosa,calibration
1384,8,colorectal adenocarcinoma epithelium,calibration
16292,0,adipose,calibration
89790,5,smooth muscle,calibration
46745,4,mucus,calibration
83917,6,normal colon mucosa,calibration
77260,8,colorectal adenocarcinoma epithelium,calibration
53337,3,lymphocytes,calibration
13291,3,lymphocytes,calibration
2763,7,cancer-associated stroma,calibration
6084,4,mucus,calibration
59777,2,debris,calibration
9543,8,colorectal adenocarcinoma epithelium,calibration
26435,1,background,calibration
6110,1,background,calibration
79821,6,normal colon mucosa,calibration
55794,6,normal colon mucosa,calibration
8608,3,lymphocytes,calibration
1948,5,smooth muscle,calibration
71774,0,adipose,calibration
80420,1,background,calibration
22819,3,lymphocytes,calibration
8845,4,mucus,calibration
1236,5,smooth muscle,calibration
41513,7,cancer-associated stroma,calibration
50554,8,colorectal adenocarcinoma epithelium,calibration
38232,8,colorectal adenocarcinoma epithelium,calibration
59438,2,debris,calibration
84747,1,background,calibration
76930,4,mucus,calibration
79595,6,normal colon mucosa,calibration
54750,8,colorectal adenocarcinoma epithelium,calibration
27468,7,cancer-associated stroma,calibration
747,5,smooth muscle,calibration
54786,1,background,calibration
8989,8,colorectal adenocarcinoma epithelium,calibration
30159,5,smooth muscle,calibration
28467,7,cancer-associated stroma,calibration
59333,1,background,calibration
54391,1,background,calibration
33899,1,background,calibration
11631,3,lymphocytes,calibration
55805,8,colorectal adenocarcinoma epithelium,calibration
40911,8,colorectal adenocarcinoma epithelium,calibration
62289,8,colorectal adenocarcinoma epithelium,calibration
79090,5,smooth muscle,calibration
14497,7,cancer-associated stroma,calibration
60957,1,background,calibration
11880,6,normal colon mucosa,calibration
72646,8,colorectal adenocarcinoma epithelium,calibration
26754,6,normal colon mucosa,calibration
2936,3,lymphocytes,calibration
77993,3,lymphocytes,calibration
18426,5,smooth muscle,calibration
47259,1,background,calibration
40248,2,debris,calibration
65025,5,smooth muscle,calibration
71802,0,adipose,calibration
2164,1,background,calibration
29385,8,colorectal adenocarcinoma epithelium,calibration
31756,6,normal colon mucosa,calibration
31165,1,background,calibration
5284,4,mucus,calibration
85107,1,background,calibration
1165,8,colorectal adenocarcinoma epithelium,calibration
23255,5,smooth muscle,calibration
41631,8,colorectal adenocarcinoma epithelium,calibration
31107,5,smooth muscle,calibration
47705,3,lymphocytes,calibration
45848,2,debris,calibration
19658,8,colorectal adenocarcinoma epithelium,calibration
39388,0,adipose,calibration
55763,7,cancer-associated stroma,calibration
28770,0,adipose,calibration
44013,2,debris,calibration
8144,6,normal colon mucosa,calibration
59281,4,mucus,calibration
3204,0,adipose,calibration
19057,1,background,calibration
7570,2,debris,calibration
25719,7,cancer-associated stroma,calibration
39464,3,lymphocytes,calibration
73328,7,cancer-associated stroma,calibration
5182,4,mucus,calibration
59988,7,cancer-associated stroma,calibration
84557,2,debris,calibration
8567,8,colorectal adenocarcinoma epithelium,calibration
7978,7,cancer-associated stroma,calibration
40535,7,cancer-associated stroma,calibration
34397,0,adipose,calibration
2016,0,adipose,calibration
7175,7,cancer-associated stroma,calibration
16652,2,debris,calibration
