image_index,label_index,label_name,original_split,split
6168,0,adipose,train,evaluation
18732,6,normal colon mucosa,train,evaluation
369,7,cancer-associated stroma,train,evaluation
26833,6,normal colon mucosa,train,evaluation
105038,2,debris,test,evaluation
23086,1,background,train,evaluation
44137,1,background,train,evaluation
97190,0,adipose,val,evaluation
87209,7,cancer-associated stroma,train,evaluation
71516,8,colorectal adenocarcinoma epithelium,train,evaluation
22057,4,mucus,train,evaluation
85525,8,colorectal adenocarcinoma epithelium,train,evaluation
101778,7,cancer-associated stroma,test,evaluation
83912,7,cancer-associated stroma,train,evaluation
76184,6,normal colon mucosa,train,evaluation
93601,4,mucus,val,evaluation
11745,3,lymphocytes,train,evaluation
13184,4,mucus,train,evaluation
36818,0,adipose,train,evaluation
98846,3,lymphocytes,val,evaluation
30142,0,adipose,train,evaluation
19211,5,smooth muscle,train,evaluation
83527,3,lymphocytes,train,evaluation
22649,0,adipose,train,evaluation
57760,5,smooth muscle,train,evaluation
22113,5,smooth muscle,train,evaluation
2339,8,colorectal adenocarcinoma epithelium,train,evaluation
106026,6,normal colon mucosa,test,evaluation
99791,4,mucus,val,evaluation
99867,7,cancer-associated stroma,val,evaluation
80419,3,lymphocytes,train,evaluation
19059,8,colorectal adenocarcinoma epithelium,train,evaluation
8169,1,background,train,evaluation
18812,2,debris,train,evaluation
54181,3,lymphocytes,train,evaluation
67846,5,smooth muscle,train,evaluation
43846,1,background,train,evaluation
102104,0,adipose,test,evaluation
5506,4,mucus,train,evaluation
102937,8,colorectal adenocarcinoma epithelium,test,evaluation
8389,3,lymphocytes,train,evaluation
83940,8,colorectal adenocarcinoma epithelium,train,evaluation
95929,3,lymphocytes,val,evaluation
104898,6,normal colon mucosa,test,evaluation
12900,3,lymphocytes,train,evaluation
21752,3,lymphocytes,train,evaluation
89073,6,normal colon mucosa,train,evaluation
11712,0,adipose,train,evaluation
104528,2,debris,test,evaluation
17746,6,normal colon mucosa,train,evaluation
95540,1,background,val,evaluation
42030,4,mucus,train,evaluation
18392,5,smooth muscle,train,evaluation
44835,1,background,train,evaluation
85157,8,colorectal adenocarcinoma epithelium,train,evaluation
56689,8,colorectal adenocarcinoma epithelium,train,evaluation
18700,1,background,train,evaluation
17008,8,colorectal adenocarcinoma epithelium,train,evaluation
33607,5,smooth muscle,train,evaluation
9387,4,mucus,train,evaluation
21837,3,lymphocytes,train,evaluation
23788,8,colorectal adenocarcinoma epithelium,train,evaluation
