image_index,label_index,label_name,split
3908,5,smooth muscle,train
23225,3,lymphocytes,train
80047,4,mucus,train
4674,7,cancer-associated stroma,train
74792,3,lymphocytes,train
6617,0,adipose,train
8239,4,mucus,train
3312,8,colorectal adenocarcinoma epithelium,train
71503,5,smooth muscle,train
22494,6,normal colon mucosa,train
7581,8,colorectal adenocarcinoma epithelium,train
437,0,adipose,train
87920,2,debris,train
77970,3,lymphocytes,train
84929,4,mucus,train
26192,2,debris,train
61639,1,background,train
57716,2,debris,train
56791,5,smooth muscle,train
17520,8,colorectal adenocarcinoma epithelium,train
5930,5,smooth muscle,train
57901,8,colorectal adenocarcinoma epithelium,train
1678,4,mucus,train
35911,3,lymphocytes,train
87403,8,colorectal adenocarcinoma epithelium,train
3599,6,normal colon mucosa,train
5668,3,lymphocytes,train
4016,2,debris,train
43709,5,smooth muscle,train
8204,2,debris,train
2097,7,cancer-associated stroma,train
89249,3,lymphocytes,train
14,1,background,train
84006,5,smooth muscle,train
87611,7,cancer-associated stroma,train
27455,0,adipose,train
49230,5,smooth muscle,train
34203,8,colorectal adenocarcinoma epithelium,train
4164,7,cancer-associated stroma,train
70600,0,adipose,train
32521,1,background,train
1206,1,background,train
1926,1,background,train
71818,2,debris,train
70991,2,debris,train
3546,1,background,train
21121,2,debris,train
86340,0,adipose,train
38485,6,normal colon mucosa,train
62473,7,cancer-associated stroma,train
38307,3,lymphocytes,train
82391,7,cancer-associated stroma,train
9185,6,normal colon mucosa,train
9828,5,smooth muscle,train
200,0,adipose,train
55509,0,adipose,train
67445,2,debris,train
86422,8,colorectal adenocarcinoma epithelium,train
62149,3,lymphocytes,train
21893,7,cancer-associated stroma,train
14268,2,debris,train
16768,5,smooth muscle,train
84017,7,cancer-associated stroma,train
86474,4,mucus,train
55563,5,smooth muscle,train
63514,8,colorectal adenocarcinoma epithelium,train
29155,1,background,train
8494,7,cancer-associated stroma,train
2737,8,colorectal adenocarcinoma epithelium,train
33110,6,normal colon mucosa,train
55724,5,smooth muscle,train
46122,5,smooth muscle,train
10650,3,lymphocytes,train
49745,3,lymphocytes,train
37407,0,adipose,train
6255,0,adipose,train
7530,1,background,train
37997,8,colorectal adenocarcinoma epithelium,train
50514,3,lymphocytes,train
31103,5,smooth muscle,train
48394,5,smooth muscle,train
5315,5,smooth muscle,train
13303,8,colorectal adenocarcinoma epithelium,train
85457,3,lymphocytes,train
6771,0,adipose,train
53873,1,background,train
59410,4,mucus,train
891,1,background,train
9818,2,debris,train
83528,3,lymphocytes,train
43286,2,debris,train
33530,4,mucus,train
33657,4,mucus,train
28210,8,colorectal adenocarcinoma epithelium,train
20687,0,adipose,train
2439,0,adipose,train
22804,8,colorectal adenocarcinoma epithelium,train
7911,6,normal colon mucosa,train
4058,4,mucus,train
24389,0,adipose,train
40485,5,smooth muscle,train
13556,5,smooth muscle,train
27369,4,mucus,train
46843,4,mucus,train
4267,0,adipose,train
18550,3,lymphocytes,train
4702,5,smooth muscle,train
77125,8,colorectal adenocarcinoma epithelium,train
52652,2,debris,train
74939,8,colorectal adenocarcinoma epithelium,train
35445,5,smooth muscle,train
82465,0,adipose,train
26084,8,colorectal adenocarcinoma epithelium,train
35618,6,normal colon mucosa,train
4921,1,background,train
82397,7,cancer-associated stroma,train
43538,7,cancer-associated stroma,train
9102,7,cancer-associated stroma,train
3084,7,cancer-associated stroma,train
34075,3,lymphocytes,train
46466,6,normal colon mucosa,train
7,8,colorectal adenocarcinoma epithelium,train
7693,2,debris,train
83988,8,colorectal adenocarcinoma epithelium,train
53347,1,background,train
25012,0,adipose,train
8329,0,adipose,train
5338,2,debris,train
82964,8,colorectal adenocarcinoma epithelium,train
25064,5,smooth muscle,train
54380,0,adipose,train
87166,2,debris,train
52036,2,debris,train
23735,5,smooth muscle,train
20459,0,adipose,train
30567,8,colorectal adenocarcinoma epithelium,train
18813,1,background,train
109,8,colorectal adenocarcinoma epithelium,train
484,7,cancer-associated stroma,train
16361,4,mucus,train
32900,6,normal colon mucosa,train
64780,0,adipose,train
4308,3,lymphocytes,train
