image_index,label_index,label_name,split
59674,5,smooth muscle,train
81461,6,normal colon mucosa,train
66808,5,smooth muscle,train
1379,6,normal colon mucosa,train
56736,3,lymphocytes,train
77467,1,background,train
6528,5,smooth muscle,train
26570,2,debris,train
8723,1,background,train
13350,6,normal colon mucosa,train
66771,0,adipose,train
3583,4,mucus,train
7184,5,smooth muscle,train
56630,8,colorectal adenocarcinoma epithelium,train
65953,3,lymphocytes,train
77200,0,adipose,train
10570,7,cancer-associated stroma,train
18333,1,background,train
3377,2,debris,train
13392,5,smooth muscle,train
69104,2,debris,train
75035,8,colorectal adenocarcinoma epithelium,train
54641,8,colorectal adenocarcinoma epithelium,train
1872,0,adipose,train
1355,7,cancer-associated stroma,train
62810,1,background,train
37217,3,lymphocytes,train
7313,5,smooth muscle,train
64129,2,debris,train
6387,3,lymphocytes,train
47035,1,background,train
4952,4,mucus,train
1734,2,debris,train
77947,3,lymphocytes,train
54914,1,background,train
40122,5,smooth muscle,train
65657,4,mucus,train
11690,3,lymphocytes,train
5481,0,adipose,train
23960,0,adipose,train
5142,7,cancer-associated stroma,train
88553,3,lymphocytes,train
9640,1,background,train
3353,0,adipose,train
50579,5,smooth muscle,train
82835,8,colorectal adenocarcinoma epithelium,train
13137,3,lymphocytes,train
37850,5,smooth muscle,train
29500,3,lymphocytes,train
74215,2,debris,train
4369,8,colorectal adenocarcinoma epithelium,train
12187,4,mucus,train
3419,6,normal colon mucosa,train
85581,8,colorectal adenocarcinoma epithelium,train
61165,5,smooth muscle,train
82263,2,debris,train
80723,4,mucus,train
4919,5,smooth muscle,train
1996,0,adipose,train
1029,4,mucus,train
37867,3,lymphocytes,train
74729,5,smooth muscle,train
9944,5,smooth muscle,train
68715,3,lymphocytes,train
19104,7,cancer-associated stroma,train
15,5,smooth muscle,train
56613,7,cancer-associated stroma,train
5801,1,background,train
49737,3,lymphocytes,train
46609,2,debris,train
47659,1,background,train
35203,1,background,train
65101,5,smooth muscle,train
89493,0,adipose,train
73490,8,colorectal adenocarcinoma epithelium,train
82111,4,mucus,train
57533,5,smooth muscle,train
69293,3,lymphocytes,train
976,3,lymphocytes,train
7486,8,colorectal adenocarcinoma epithelium,train
66188,1,background,train
31481,6,normal colon mucosa,train
76380,0,adipose,train
88619,7,cancer-associated stroma,train
12122,2,debris,train
50282,4,mucus,train
33833,5,smooth muscle,train
76690,3,lymphocytes,train
18031,8,colorectal adenocarcinoma epithelium,train
63197,3,lymphocytes,train
45739,6,normal colon mucosa,train
77123,8,colorectal adenocarcinoma epithelium,train
38980,2,debris,train
85627,8,colorectal adenocarcinoma epithelium,train
1296,0,adipose,train
1798,0,adipose,train
89003,3,lymphocytes,train
3125,4,mucus,train
74707,5,smooth muscle,train
56233,5,smooth muscle,train
45151,0,adipose,train
47671,5,smooth muscle,train
76703,4,mucus,train
3518,7,cancer-associated stroma,train
37085,3,lymphocytes,train
68651,6,normal colon mucosa,train
37524,8,colorectal adenocarcinoma epithelium,train
379,1,background,train
5976,2,debris,train
20547,2,debris,train
2828,7,cancer-associated stroma,train
11760,8,colorectal adenocarcinoma epithelium,train
35628,6,normal colon mucosa,train
53958,8,colorectal adenocarcinoma epithelium,train
69252,3,lymphocytes,train
61008,8,colorectal adenocarcinoma epithelium,train
5137,0,adipose,train
44074,0,adipose,train
23898,1,background,train
86513,7,cancer-associated stroma,train
3063,5,smooth muscle,train
14174,4,mucus,train
82582,4,mucus,train
70254,4,mucus,train
5925,5,smooth muscle,train
88994,8,colorectal adenocarcinoma epithelium,train
51736,7,cancer-associated stroma,train
65134,8,colorectal adenocarcinoma epithelium,train
65776,0,adipose,train
77852,5,smooth muscle,train
35077,4,mucus,train
53187,3,lymphocytes,train
1268,8,colorectal adenocarcinoma epithelium,train
81144,0,adipose,train
74303,1,background,train
788,4,mucus,train
39443,2,debris,train
16553,8,colorectal adenocarcinoma epithelium,train
27779,3,lymphocytes,train
7161,7,cancer-associated stroma,train
16132,2,debris,train
33592,5,smooth muscle,train
68460,3,lymphocytes,train
43400,4,mucus,train
4513,4,mucus,train
1693,3,lymphocytes,train
55534,4,mucus,train
4877,2,debris,train
69051,4,mucus,train
8839,7,cancer-associated stroma,train
83062,5,smooth muscle,train
86936,6,normal colon mucosa,train
25993,1,background,train
6379,0,adipose,train
6239,0,adipose,train
5303,3,lymphocytes,train
2870,1,background,train
80142,6,normal colon mucosa,train
74235,6,normal colon mucosa,train
28865,8,colorectal adenocarcinoma epithelium,train
82242,1,background,train
2358,2,debris,train
74698,6,normal colon mucosa,train
39900,7,cancer-associated stroma,train
57150,6,normal colon mucosa,train
82784,4,mucus,train
13708,3,lymphocytes,train
85728,2,debris,train
5359,4,mucus,train
3248,1,background,train
47573,2,debris,train
2545,6,normal colon mucosa,train
22626,8,colorectal adenocarcinoma epithelium,train
50732,8,colorectal adenocarcinoma epithelium,train
56731,7,cancer-associated stroma,train
57011,3,lymphocytes,train
8500,2,debris,train
36260,0,adipose,train
42559,2,debris,train
5138,4,mucus,train
83052,0,adipose,train
67834,3,lymphocytes,train
76725,2,debris,train
88967,6,normal colon mucosa,train
82084,1,background,train
3471,5,smooth muscle,train
66278,7,cancer-associated stroma,train
45316,7,cancer-associated stroma,train
13734,3,lymphocytes,train
57377,5,smooth muscle,train
51041,6,normal colon mucosa,train
1197,3,lymphocytes,train
64293,5,smooth muscle,train
78545,5,smooth muscle,train
76636,7,cancer-associated stroma,train
79231,0,adipose,train
61050,4,mucus,train
50906,0,adipose,train
35817,3,lymphocytes,train
791,5,smooth muscle,train
62931,7,cancer-associated stroma,train
12845,8,colorectal adenocarcinoma epithelium,train
56614,6,normal colon mucosa,train
83035,7,cancer-associated stroma,train
19265,5,smooth muscle,train
1077,7,cancer-associated stroma,train
85544,7,cancer-associated stroma,train
85501,1,background,train
89612,3,lymphocytes,train
73896,8,colorectal adenocarcinoma epithelium,train
