image_index,label_index,label_name,original_split,split
56083,0,"Collecting Duct, Connecting Tubule",train,calibration
191913,6,Proximal Tubule Segments,test,calibration
51219,0,"Collecting Duct, Connecting Tubule",train,calibration
212085,0,"Collecting Duct, Connecting Tubule",test,calibration
235032,3,Interstitial endothelial cells,test,calibration
107176,1,Distal Convoluted Tubule,train,calibration
141083,0,"Collecting Duct, Connecting Tubule",train,calibration
41993,5,Podocytes,train,calibration
176438,6,Proximal Tubule Segments,val,calibration
194244,6,Proximal Tubule Segments,test,calibration
67679,5,Podocytes,train,calibration
222426,7,Thick Ascending Limb,test,calibration
59092,3,Interstitial endothelial cells,train,calibration
95625,0,"Collecting Duct, Connecting Tubule",train,calibration
37155,3,Interstitial endothelial cells,train,calibration
32791,0,"Collecting Duct, Connecting Tubule",train,calibration
229591,0,"Collecting Duct, Connecting Tubule",test,calibration
325,6,Proximal Tubule Segments,train,calibration
81192,0,"Collecting Duct, Connecting Tubule",train,calibration
198515,6,Proximal Tubule Segments,test,calibration
43220,4,Leukocytes,train,calibration
175823,0,"Collecting Duct, Connecting Tubule",val,calibration
125337,7,Thick Ascending Limb,train,calibration
23865,7,Thick Ascending Limb,train,calibration
168277,1,Distal Convoluted Tubule,val,calibration
203047,7,Thick Ascending Limb,test,calibration
110906,0,"Collecting Duct, Connecting Tubule",train,calibration
15982,0,"Collecting Duct, Connecting Tubule",train,calibration
176190,0,"Collecting Duct, Connecting Tubule",val,calibration
33721,5,Podocytes,train,calibration
81654,0,"Collecting Duct, Connecting Tubule",train,calibration
73314,3,Interstitial endothelial cells,train,calibration
107756,3,Interstitial endothelial cells,train,calibration
75283,6,Proximal Tubule Segments,train,calibration
28897,4,Leukocytes,train,calibration
209355,0,"Collecting Duct, Connecting Tubule",test,calibration
139864,0,"Collecting Duct, Connecting Tubule",train,calibration
122866,5,Podocytes,train,calibration
100031,7,Thick Ascending Limb,train,calibration
150688,0,"Collecting Duct, Connecting Tubule",train,calibration
99690,6,Proximal Tubule Segments,train,calibration
28280,7,Thick Ascending Limb,train,calibration
168480,0,"Collecting Duct, Connecting Tubule",val,calibration
40783,6,Proximal Tubule Segments,train,calibration
15673,6,Proximal Tubule Segments,train,calibration
122879,0,"Collecting Duct, Connecting Tubule",train,calibration
119525,0,"Collecting Duct, Connecting Tubule",train,calibration
178628,7,Thick Ascending Limb,val,calibration
157025,0,"Collecting Duct, Connecting Tubule",train,calibration
47230,0,"Collecting Duct, Connecting Tubule",train,calibration
26030,6,Proximal Tubule Segments,train,calibration
191956,6,Proximal Tubule Segments,test,calibration
10217,0,"Collecting Duct, Connecting Tubule",train,calibration
212456,3,Interstitial endothelial cells,test,calibration
7914,0,"Collecting Duct, Connecting Tubule",train,calibration
120481,0,"Collecting Duct, Connecting Tubule",train,calibration
122095,7,Thick Ascending Limb,train,calibration
55764,0,"Collecting Duct, Connecting Tubule",train,calibration
92112,5,Podocytes,train,calibration
212269,7,Thick Ascending Limb,test,calibration
80916,0,"Collecting Duct, Connecting Tubule",train,calibration
122914,6,Proximal Tubule Segments,train,calibration
56895,0,"Collecting Duct, Connecting Tubule",train,calibration
209836,6,Proximal Tubule Segments,test,calibration
101993,4,Leukocytes,train,calibration
215732,6,Proximal Tubule Segments,test,calibration
19275,7,Thick Ascending Limb,train,calibration
107202,6,Proximal Tubule Segments,train,calibration
11897,1,Distal Convoluted Tubule,train,calibration
43570,0,"Collecting Duct, Connecting Tubule",train,calibration
225292,0,"Collecting Duct, Connecting Tubule",test,calibration
48178,6,Proximal Tubule Segments,train,calibration
66107,0,"Collecting Duct, Connecting Tubule",train,calibration
134629,3,Interstitial endothelial cells,train,calibration
10889,0,"Collecting Duct, Connecting Tubule",train,calibration
123804,0,"Collecting Duct, Connecting Tubule",train,calibration
60759,6,Proximal Tubule Segments,train,calibration
200232,0,"Collecting Duct, Connecting Tubule",test,calibration
32664,3,Interstitial endothelial cells,train,calibration
206025,6,Proximal Tubule Segments,test,calibration
138709,6,Proximal Tubule Segments,train,calibration
83176,6,Proximal Tubule Segments,train,calibration
185648,5,Podocytes,val,calibration
125062,6,Proximal Tubule Segments,train,calibration
195835,0,"Collecting Duct, Connecting Tubule",test,calibration
38651,6,Proximal Tubule Segments,train,calibration
128865,0,"Collecting Duct, Connecting Tubule",train,calibration
152920,5,Podocytes,train,calibration
13605,6,Proximal Tubule Segments,train,calibration
231116,7,Thick Ascending Limb,test,calibration
201966,7,Thick Ascending Limb,test,calibration
216685,0,"Collecting Duct, Connecting Tubule",test,calibration
85746,0,"Collecting Duct, Connecting Tubule",train,calibration
18091,3,Interstitial endothelial cells,train,calibration
225498,6,Proximal Tubule Segments,test,calibration
200288,4,Leukocytes,test,calibration
4450,1,Distal Convoluted Tubule,train,calibration
32210,1,Distal Convoluted Tubule,train,calibration
227195,2,Glomerular endothelial cells,test,calibration
39289,7,Thick Ascending Limb,train,calibration
230857,6,Proximal Tubule Segments,test,calibration
134945,0,"Collecting Duct, Connecting Tubule",train,calibration
226090,1,Distal Convoluted Tubule,test,calibration
996,7,Thick Ascending Limb,train,calibration
166242,0,"Collecting Duct, Connecting Tubule",val,calibration
