image_index,label_index,label_name,original_split,split
46875,6,Proximal Tubule Segments,train,evaluation
174190,3,Interstitial endothelial cells,val,evaluation
37403,3,Interstitial endothelial cells,train,evaluation
211957,7,Thick Ascending Limb,test,evaluation
138387,6,Proximal Tubule Segments,train,evaluation
73461,7,Thick Ascending Limb,train,evaluation
87980,7,Thick Ascending Limb,train,evaluation
72254,6,Proximal Tubule Segments,train,evaluation
42013,4,Leukocytes,train,evaluation
118421,0,"Collecting Duct, Connecting Tubule",train,evaluation
88988,4,Leukocytes,train,evaluation
128683,0,"Collecting Duct, Connecting Tubule",train,evaluation
87574,7,Thick Ascending Limb,train,evaluation
116107,2,Glomerular endothelial cells,train,evaluation
44219,5,Podocytes,train,evaluation
175479,1,Distal Convoluted Tubule,val,evaluation
173799,0,"Collecting Duct, Connecting Tubule",val,evaluation
228330,1,Distal Convoluted Tubule,test,evaluation
229599,3,Interstitial endothelial cells,test,evaluation
216451,0,"Collecting Duct, Connecting Tubule",test,evaluation
156745,6,Proximal Tubule Segments,train,evaluation
91765,0,"Collecting Duct, Connecting Tubule",train,evaluation
104566,6,Proximal Tubule Segments,train,evaluation
143118,6,Proximal Tubule Segments,train,evaluation
138495,0,"Collecting Duct, Connecting Tubule",train,evaluation
68083,0,"Collecting Duct, Connecting Tubule",train,evaluation
130827,0,"Collecting Duct, Connecting Tubule",train,evaluation
142172,2,Glomerular endothelial cells,train,evaluation
123792,1,Distal Convoluted Tubule,train,evaluation
234496,5,Podocytes,test,evaluation
152377,6,Proximal Tubule Segments,train,evaluation
4554,0,"Collecting Duct, Connecting Tubule",train,evaluation
157187,7,Thick Ascending Limb,train,evaluation
7910,6,Proximal Tubule Segments,train,evaluation
126883,6,Proximal Tubule Segments,train,evaluation
189122,0,"Collecting Duct, Connecting Tubule",test,evaluation
189614,7,Thick Ascending Limb,test,evaluation
226431,7,Thick Ascending Limb,test,evaluation
158720,1,Distal Convoluted Tubule,train,evaluation
93571,0,"Collecting Duct, Connecting Tubule",train,evaluation
104947,6,Proximal Tubule Segments,train,evaluation
216157,0,"Collecting Duct, Connecting Tubule",test,evaluation
48460,0,"Collecting Duct, Connecting Tubule",train,evaluation
213824,2,Glomerular endothelial cells,test,evaluation
181201,0,"Collecting Duct, Connecting Tubule",val,evaluation
162860,0,"Collecting Duct, Connecting Tubule",train,evaluation
230657,5,Podocytes,test,evaluation
199325,7,Thick Ascending Limb,test,evaluation
227686,6,Proximal Tubule Segments,test,evaluation
70068,4,Leukocytes,train,evaluation
113382,7,Thick Ascending Limb,train,evaluation
29814,1,Distal Convoluted Tubule,train,evaluation
184634,0,"Collecting Duct, Connecting Tubule",val,evaluation
165082,7,Thick Ascending Limb,train,evaluation
19694,0,"Collecting Duct, Connecting Tubule",train,evaluation
