image_index,label_index,label_name
0,0,choroidal neovascularization
1,3,normal
2,3,normal
3,3,normal
4,0,choroidal neovascularization
5,3,normal
6,1,diabetic macular edema
7,0,choroidal neovascularization
8,3,normal
9,3,normal
10,3,normal
11,2,drusen
12,0,choroidal neovascularization
13,0,choroidal neovascularization
14,2,drusen
15,0,choroidal neovascularization
16,0,choroidal neovascularization
17,3,normal
18,0,choroidal neovascularization
19,0,choroidal neovascularization
20,0,choroidal neovascularization
21,3,normal
22,3,normal
23,0,choroidal neovascularization
24,3,normal
25,0,choroidal neovascularization
26,3,normal
27,3,normal
28,3,normal
29,0,choroidal neovascularization
30,3,normal
31,0,choroidal neovascularization
32,1,diabetic macular edema
33,0,choroidal neovascularization
34,0,choroidal neovascularization
35,3,normal
36,3,normal
37,1,diabetic macular edema
38,0,choroidal neovascularization
39,3,normal
40,1,diabetic macular edema
41,3,normal
42,3,normal
43,0,choroidal neovascularization
44,3,normal
45,3,normal
46,0,choroidal neovascularization
47,3,normal
48,3,normal
49,3,normal
50,0,choroidal neovascularization
51,3,normal
52,3,normal
53,3,normal
54,3,normal
55,3,normal
56,0,choroidal neovascularization
57,0,choroidal neovascularization
58,3,normal
59,3,normal
60,3,normal
61,0,choroidal neovascularization
62,0,choroidal neovascularization
63,3,normal
64,3,normal
65,3,normal
66,3,normal
67,2,drusen
68,3,normal
69,3,normal
70,1,diabetic macular edema
71,1,diabetic macular edema
72,1,diabetic macular edema
73,0,choroidal neovascularization
74,3,normal
75,2,drusen
76,3,normal
77,3,normal
78,0,choroidal neovascularization
79,3,normal
80,3,normal
81,1,diabetic macular edema
82,3,normal
83,3,normal
84,3,normal
85,0,choroidal neovascularization
86,3,normal
87,3,normal
88,2,drusen
89,3,normal
90,1,diabetic macular edema
91,3,normal
92,0,choroidal neovascularization
93,3,normal
94,0,choroidal neovascularization
95,3,normal
96,3,normal
97,0,choroidal neovascularization
98,0,choroidal neovascularization
99,0,choroidal neovascularization
100,3,normal
101,3,normal
102,3,normal
103,3,normal
104,3,normal
105,1,diabetic macular edema
106,3,normal
107,0,choroidal neovascularization
108,0,choroidal neovascularization
109,3,normal
110,2,drusen
111,3,normal
112,0,choroidal neovascularization
113,0,choroidal neovascularization
114,1,diabetic macular edema
115,0,choroidal neovascularization
116,3,normal
117,3,normal
118,1,diabetic macular edema
119,1,diabetic macular edema
120,3,normal
121,0,choroidal neovascularization
122,1,diabetic macular edema
123,3,normal
124,0,choroidal neovascularization
125,0,choroidal neovascularization
126,1,diabetic macular edema
127,0,choroidal neovascularization
128,0,choroidal neovascularization
129,0,choroidal neovascularization
130,2,drusen
131,0,choroidal neovascularization
132,3,normal
133,3,normal
134,3,normal
135,0,choroidal neovascularization
136,0,choroidal neovascularization
137,2,drusen
138,1,diabetic macular edema
139,0,choroidal neovascularization
140,3,normal
141,0,choroidal neovascularization
142,0,choroidal neovascularization
143,0,choroidal neovascularization
144,1,diabetic macular edema
145,3,normal
146,0,choroidal neovascularization
147,3,normal
148,0,choroidal neovascularization
149,0,choroidal neovascularization
150,3,normal
151,0,choroidal neovascularization
152,1,diabetic macular edema
153,2,drusen
154,0,choroidal neovascularization
155,1,diabetic macular edema
156,0,choroidal neovascularization
157,1,diabetic macular edema
158,1,diabetic macular edema
159,2,drusen
160,3,normal
161,3,normal
162,0,choroidal neovascularization
163,3,normal
164,0,choroidal neovascularization
165,3,normal
166,0,choroidal neovascularization
167,0,choroidal neovascularization
168,0,choroidal neovascularization
169,1,diabetic macular edema
170,0,choroidal neovascularization
171,3,normal
172,3,normal
173,3,normal
174,3,normal
175,3,normal
176,3,normal
177,3,normal
178,0,choroidal neovascularization
179,0,choroidal neovascularization
180,3,normal
181,0,choroidal neovascularization
182,3,normal
183,3,normal
184,2,drusen
185,3,normal
186,0,choroidal neovascularization
187,0,choroidal neovascularization
188,0,choroidal neovascularization
189,3,normal
190,3,normal
191,0,choroidal neovascularization
192,0,choroidal neovascularization
193,3,normal
194,3,normal
195,3,normal
196,0,choroidal neovascularization
197,3,normal
198,3,normal
199,3,normal
200,2,drusen
201,3,normal
202,0,choroidal neovascularization
203,3,normal
204,3,normal
205,0,choroidal neovascularization
206,3,normal
207,3,normal
208,3,normal
209,0,choroidal neovascularization
210,0,choroidal neovascularization
211,0,choroidal neovascularization
212,0,choroidal neovascularization
213,3,normal
214,3,normal
215,3,normal
216,3,normal
217,1,diabetic macular edema
218,3,normal
219,0,choroidal neovascularization
220,3,normal
221,3,normal
222,1,diabetic macular edema
223,3,normal
224,3,normal
225,3,normal
226,0,choroidal neovascularization
227,3,normal
228,3,normal
229,2,drusen
230,0,choroidal neovascularization
231,0,choroidal neovascularization
232,0,choroidal neovascularization
233,3,normal
234,3,normal
235,3,normal
236,3,normal
237,3,normal
238,2,drusen
239,1,diabetic macular edema
240,0,choroidal neovascularization
241,0,choroidal neovascularization
242,3,normal
243,2,drusen
244,0,choroidal neovascularization
245,3,normal
246,3,normal
247,3,normal
248,0,choroidal neovascularization
249,3,normal
250,0,choroidal neovascularization
251,0,choroidal neovascularization
252,0,choroidal neovascularization
253,3,normal
254,3,normal
255,3,normal
256,0,choroidal neovascularization
257,0,choroidal neovascularization
258,0,choroidal neovascularization
259,3,normal
260,1,diabetic macular edema
261,0,choroidal neovascularization
262,3,normal
263,0,choroidal neovascularization
264,0,choroidal neovascularization
265,0,choroidal neovascularization
266,3,normal
267,0,choroidal neovascularization
268,0,choroidal neovascularization
269,3,normal
270,3,normal
271,3,normal
272,1,diabetic macular edema
273,0,choroidal neovascularization
274,3,normal
275,0,choroidal neovascularization
276,0,choroidal neovascularization
277,3,normal
278,3,normal
279,0,choroidal neovascularization
280,3,normal
281,3,normal
282,2,drusen
283,3,normal
284,0,choroidal neovascularization
285,1,diabetic macular edema
286,0,choroidal neovascularization
287,0,choroidal neovascularization
288,1,diabetic macular edema
289,3,normal
290,3,normal
291,0,choroidal neovascularization
292,3,normal
293,3,normal
294,3,normal
295,3,normal
296,3,normal
297,0,choroidal neovascularization
298,0,choroidal neovascularization
299,3,normal
300,2,drusen
301,3,normal
302,3,normal
303,0,choroidal neovascularization
304,3,normal
305,3,normal
306,3,normal
307,0,choroidal neovascularization
308,3,normal
309,3,normal
310,3,normal
311,3,normal
312,3,normal
313,3,normal
314,3,normal
315,0,choroidal neovascularization
316,3,normal
317,3,normal
318,3,normal
319,3,normal
320,3,normal
321,3,normal
322,3,normal
323,1,diabetic macular edema
324,3,normal
325,2,drusen
326,3,normal
327,3,normal
328,0,choroidal neovascularization
329,0,choroidal neovascularization
330,3,normal
331,1,diabetic macular edema
332,1,diabetic macular edema
333,1,diabetic macular edema
334,3,normal
335,3,normal
336,0,choroidal neovascularization
337,0,choroidal neovascularization
338,1,diabetic macular edema
339,3,normal
340,3,normal
341,1,diabetic macular edema
342,0,choroidal neovascularization
343,3,normal
344,2,drusen
345,0,choroidal neovascularization
346,3,normal
347,3,normal
348,0,choroidal neovascularization
349,0,choroidal neovascularization
350,1,diabetic macular edema
351,1,diabetic macular edema
352,0,choroidal neovascularization
353,0,choroidal neovascularization
354,0,choroidal neovascularization
355,0,choroidal neovascularization
356,0,choroidal neovascularization
357,0,choroidal neovascularization
358,0,choroidal neovascularization
359,0,choroidal neovascularization
360,0,choroidal neovascularization
361,2,drusen
362,0,choroidal neovascularization
363,0,choroidal neovascularization
364,3,normal
365,3,normal
366,1,diabetic macular edema
367,0,choroidal neovascularization
368,0,choroidal neovascularization
369,3,normal
370,0,choroidal neovascularization
371,3,normal
372,3,normal
373,0,choroidal neovascularization
374,3,normal
375,2,drusen
376,3,normal
377,0,choroidal neovascularization
378,3,normal
379,0,choroidal neovascularization
380,1,diabetic macular edema
381,0,choroidal neovascularization
382,1,diabetic macular edema
383,3,normal
384,1,diabetic macular edema
385,3,normal
386,2,drusen
387,3,normal
388,3,normal
389,3,normal
390,3,normal
391,3,normal
392,0,choroidal neovascularization
393,1,diabetic macular edema
394,1,diabetic macular edema
395,0,choroidal neovascularization
396,1,diabetic macular edema
397,3,normal
398,0,choroidal neovascularization
399,3,normal
400,0,choroidal neovascularization
401,0,choroidal neovascularization
402,1,diabetic macular edema
403,0,choroidal neovascularization
404,3,normal
405,3,normal
406,0,choroidal neovascularization
407,1,diabetic macular edema
408,0,choroidal neovascularization
409,1,diabetic macular edema
410,0,choroidal neovascularization
411,0,choroidal neovascularization
412,2,drusen
413,3,normal
414,3,normal
415,0,choroidal neovascularization
416,2,drusen
417,0,choroidal neovascularization
418,2,drusen
419,0,choroidal neovascularization
420,0,choroidal neovascularization
421,3,normal
422,3,normal
423,3,normal
424,0,choroidal neovascularization
425,3,normal
426,2,drusen
427,3,normal
428,1,diabetic macular edema
429,0,choroidal neovascularization
430,3,normal
431,0,choroidal neovascularization
432,3,normal
433,3,normal
434,3,normal
435,3,normal
436,3,normal
437,1,diabetic macular edema
438,1,diabetic macular edema
439,3,normal
440,3,normal
441,3,normal
442,3,normal
443,3,normal
444,3,normal
445,3,normal
446,0,choroidal neovascularization
447,0,choroidal neovascularization
448,3,normal
449,0,choroidal neovascularization
450,0,choroidal neovascularization
451,3,normal
452,0,choroidal neovascularization
453,3,normal
454,1,diabetic macular edema
455,3,normal
456,0,choroidal neovascularization
457,0,choroidal neovascularization
458,3,normal
459,0,choroidal neovascularization
460,3,normal
461,3,normal
462,3,normal
463,0,choroidal neovascularization
464,3,normal
465,3,normal
466,3,normal
467,0,choroidal neovascularization
468,3,normal
469,3,normal
470,0,choroidal neovascularization
471,0,choroidal neovascularization
472,3,normal
473,0,choroidal neovascularization
474,0,choroidal neovascularization
475,3,normal
476,0,choroidal neovascularization
477,1,diabetic macular edema
478,0,choroidal neovascularization
479,1,diabetic macular edema
480,3,normal
481,3,normal
