image_index,label_index,label_name
0,0,adipose
1,4,mucus
2,7,cancer-associated stroma
3,5,smooth muscle
4,5,smooth muscle
5,8,colorectal adenocarcinoma epithelium
6,3,lymphocytes
7,3,lymphocytes
8,5,smooth muscle
9,2,debris
10,8,colorectal adenocarcinoma epithelium
11,5,smooth muscle
12,8,colorectal adenocarcinoma epithelium
13,2,debris
14,1,background
15,1,background
16,5,smooth muscle
17,4,mucus
18,3,lymphocytes
19,2,debris
20,8,colorectal adenocarcinoma epithelium
21,2,debris
22,5,smooth muscle
23,8,colorectal adenocarcinoma epithelium
24,3,lymphocytes
25,8,colorectal adenocarcinoma epithelium
26,5,smooth muscle
27,2,debris
28,3,lymphocytes
29,3,lymphocytes
30,1,background
31,3,lymphocytes
32,7,cancer-associated stroma
33,0,adipose
34,1,background
35,8,colorectal adenocarcinoma epithelium
36,3,lymphocytes
37,0,adipose
38,8,colorectal adenocarcinoma epithelium
39,5,smooth muscle
40,4,mucus
41,3,lymphocytes
42,7,cancer-associated stroma
43,1,background
44,6,normal colon mucosa
45,5,smooth muscle
46,6,normal colon mucosa
47,0,adipose
48,1,background
49,2,debris
50,0,adipose
51,1,background
52,0,adipose
53,1,background
54,8,colorectal adenocarcinoma epithelium
55,4,mucus
56,6,normal colon mucosa
57,5,smooth muscle
58,1,background
59,5,smooth muscle
60,3,lymphocytes
61,7,cancer-associated stroma
62,4,mucus
63,0,adipose
64,0,adipose
65,6,normal colon mucosa
66,2,debris
67,7,cancer-associated stroma
68,1,background
69,5,smooth muscle
70,6,normal colon mucosa
71,6,normal colon mucosa
72,5,smooth muscle
73,8,colorectal adenocarcinoma epithelium
74,0,adipose
75,7,cancer-associated stroma
76,2,debris
77,1,background
78,3,lymphocytes
79,3,lymphocytes
80,3,lymphocytes
81,8,colorectal adenocarcinoma epithelium
82,7,cancer-associated stroma
83,5,smooth muscle
84,8,colorectal adenocarcinoma epithelium
85,0,adipose
86,4,mucus
87,5,smooth muscle
88,4,mucus
89,8,colorectal adenocarcinoma epithelium
90,0,adipose
91,0,adipose
92,7,cancer-associated stroma
93,5,smooth muscle
94,8,colorectal adenocarcinoma epithelium
95,5,smooth muscle
96,3,lymphocytes
97,7,cancer-associated stroma
98,0,adipose
99,3,lymphocytes
100,6,normal colon mucosa
101,4,mucus
102,3,lymphocytes
103,3,lymphocytes
104,1,background
105,7,cancer-associated stroma
106,4,mucus
107,5,smooth muscle
108,3,lymphocytes
109,8,colorectal adenocarcinoma epithelium
110,5,smooth muscle
111,2,debris
112,3,lymphocytes
113,3,lymphocytes
114,8,colorectal adenocarcinoma epithelium
115,1,background
116,7,cancer-associated stroma
117,5,smooth muscle
118,5,smooth muscle
119,5,smooth muscle
120,6,normal colon mucosa
121,6,normal colon mucosa
122,8,colorectal adenocarcinoma epithelium
123,3,lymphocytes
124,2,debris
125,2,debris
126,3,lymphocytes
127,0,adipose
128,5,smooth muscle
129,0,adipose
130,3,lymphocytes
131,1,background
132,4,mucus
133,8,colorectal adenocarcinoma epithelium
134,2,debris
135,4,mucus
136,6,normal colon mucosa
137,5,smooth muscle
138,3,lymphocytes
139,8,colorectal adenocarcinoma epithelium
140,8,colorectal adenocarcinoma epithelium
141,6,normal colon mucosa
142,1,background
143,5,smooth muscle
144,8,colorectal adenocarcinoma epithelium
145,1,background
146,8,colorectal adenocarcinoma epithelium
147,2,debris
148,8,colorectal adenocarcinoma epithelium
149,1,background
150,0,adipose
151,3,lymphocytes
152,1,background
153,8,colorectal adenocarcinoma epithelium
154,1,background
155,5,smooth muscle
156,7,cancer-associated stroma
157,5,smooth muscle
158,3,lymphocytes
159,1,background
160,3,lymphocytes
161,3,lymphocytes
162,8,colorectal adenocarcinoma epithelium
163,5,smooth muscle
164,1,background
165,4,mucus
166,3,lymphocytes
167,1,background
168,5,smooth muscle
169,0,adipose
170,0,adipose
171,7,cancer-associated stroma
172,5,smooth muscle
173,0,adipose
174,7,cancer-associated stroma
175,1,background
176,4,mucus
177,5,smooth muscle
178,2,debris
179,1,background
180,3,lymphocytes
181,4,mucus
182,5,smooth muscle
183,5,smooth muscle
184,3,lymphocytes
185,1,background
186,5,smooth muscle
187,6,normal colon mucosa
188,5,smooth muscle
189,2,debris
190,5,smooth muscle
191,7,cancer-associated stroma
192,3,lymphocytes
193,0,adipose
194,2,debris
195,1,background
